"CODE_SERIE";"CODE_PAYS";"UNITE";"SOURCE";"VALEUR";"QUALITE";"STATUT";"COMMENTAIRE";"DATE_MAJ";"AUTEUR";"C_TITRE_FRA";"C_TITRE_ENG"
cst_glebltun;fix;bl/t;NRD;7.92;1;o;;2016-03-09 11:56:06;LEOG;;
cst_glgbltun;fix;bl/t;NRD;7.07;1;o;;2016-03-09 11:56:06;LEOG;;
cst_glabltun;fix;bl/t;NRD;7.8;1;o;;2016-03-09 11:56:06;LEOG;;
cst_glgun;fix;tep/t;NRD;0.879;1;o;;2016-03-09 11:56:06;LEOG;;
cst_gnapcspci;fix;tep/t;NRD;0.9;1;o;;2016-03-09 11:56:06;LEOG;;
cst_supdn;fix;t/m3;NRD;0.755;1;o;;2016-03-09 11:56:07;LEOG;;
cst_supun;fix;tep/t;NRD;1.051;1;o;;2016-03-09 11:56:07;LEOG;;
cst_foddn;fix;t/m3;NRD;0.845;1;o;;2016-03-09 11:56:07;LEOG;;
cst_fodun;fix;tep/t;NRD;1.017;1;o;;2016-03-09 11:56:07;LEOG;;
cst_glaun;fix;tep/t;NRD;0.879;1;o;;2016-03-09 11:56:07;LEOG;;
cst_cliun;fix;tep/t;NRD;0.23;1;o;;2016-03-09 11:56:07;LEOG;;
cst_gviun;fix;kep/m3;NRD;0.81685;1;o;;2016-03-09 11:56:07;LEOG;;
cst_gckun;fix;kep/m3;NRD;0.81685;1;o;;2016-03-09 11:56:07;LEOG;;
cst_gacun;fix;kep/m3;NRD;0.81685;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ghfun;fix;kep/m3;NRD;0.81685;1;o;;2016-03-09 11:56:07;LEOG;;
cst_tepGjun;fix;Gj/tep;NRD;0.023885;1;o;;2016-03-09 11:56:07;LEOG;;
cst_egvun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_egkun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_eghun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_egaun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_eatun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ecbun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_eckun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_eclun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_etoun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ecoun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_egoun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ebcun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_eblun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_epnun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_epaun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_epbun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_elgun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_egrun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_egpun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ecaun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ekeun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_egsun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_efoun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_enaun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ebtun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ecpun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_epdun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_evaun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ealun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_edaun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_egbun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ebaun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ediun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_emnun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_emrun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ernun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ensun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_emaun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_gnlunm3;fix;Mj/m3;NRD;40;1;o;;2016-03-09 11:56:07;LEOG;;
cst_gnluntep;fix;kep/m3;NRD;0.85984;1;o;;2016-03-09 11:56:07;LEOG;;
cst_cmsun;fix;tep/t;NRD;0.62;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ppeun;fix;tep/t;NRD;1.02;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ecmun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_egzun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_ebiun;fix;tep/MWh;NRD;0.086;1;o;;2016-03-09 11:56:07;LEOG;;
cst_gnlun;fix;kep/m3;NRD;0.85984;1;o;;2016-03-09 11:56:07;LEOG;;
