nrg_bal,siec,unit,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 
FC_OTH_HH_E,E7000,TJ,SE	153262.800 	158810.400 	162244.800 	162475.200 	165006.000 	154753.200 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,SI	13082.807 	12307.896 	12124.130 	11977.002 	11736.000 	11538.112 	11251.534 	11623.284 	11444.504 	11560.486 	11588.540 
FC_OTH_HH_E,E7000,TJ,SK	21146.400 	19630.800 	18342.000 	17704.800 	18349.200 	18126.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,UA	: 	126849.600 	129405.614 	126148.284 	129301.596 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,E7000,TJ,UK	: 	: 	378232.369 	379324.444 	388890.155 	387949.853 	389073.960 	408284.899 	412785.450 	401711.105 	427795.031 
FC_OTH_HH_E,E7000,TJ,XK	9999.716 	9100.667 	8479.948 	8247.463 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,AT	59595.886 	59719.332 	56280.632 	61496.238 	62819.067 	56839.082 	52399.369 	59831.004 	59220.172 	58178.113 	65468.974 
FC_OTH_HH_E,G3000,TJ,BA	1700.100 	1622.700 	1506.600 	1581.300 	1446.300 	1388.700 	1125.000 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,BE	128172.240 	135511.650 	136652.490 	136852.110 	139920.930 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,BG	4022.204 	3297.805 	3235.574 	2849.706 	2465.827 	2166.751 	1892.000 	1882.000 	2237.000 	2343.000 	2065.000 
FC_OTH_HH_E,G3000,TJ,CZ	77706.762 	75169.282 	78663.398 	83923.201 	83471.400 	74918.700 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,DE	910447.655 	936985.822 	932189.676 	904274.339 	924967.800 	826425.901 	766105.200 	942415.199 	905134.500 	827226.900 	1000926.000 
FC_OTH_HH_E,G3000,TJ,DK	24787.410 	25782.459 	25751.260 	24813.000 	25997.000 	25174.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,EA19	2759473.928 	2833679.963 	2866285.051 	2894142.989 	2932209.124 	2608908.551 	1699097.436 	2142382.137 	2068534.975 	1907018.785 	2266536.781 
FC_OTH_HH_E,G3000,TJ,EE	2353.500 	2418.192 	2302.506 	2314.801 	2422.799 	2064.600 	2186.100 	2188.800 	2316.600 	2163.600 	2298.599 
FC_OTH_HH_E,G3000,TJ,EL	18505.287 	16093.043 	13872.060 	15100.309 	13778.190 	14892.300 	: 	9731.700 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,ES	145466.099 	144741.599 	152980.200 	139147.201 	139631.400 	138917.699 	129552.300 	133707.600 	146936.698 	142856.999 	178266.577 
FC_OTH_HH_E,G3000,TJ,EU27_2020	3272407.696 	3332137.227 	3367734.850 	: 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,FI	1002.600 	1116.000 	1026.000 	1098.000 	1122.300 	1100.700 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,FR	450215.324 	475744.382 	483506.663 	513756.246 	528808.971 	488743.172 	453886.748 	607400.315 	588483.122 	531564.233 	580746.600 
FC_OTH_HH_E,G3000,TJ,GE	39562.397 	34778.903 	30259.270 	31164.155 	27923.400 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,HR	20333.496 	19221.736 	19561.208 	20060.069 	19505.400 	18687.308 	18151.968 	20482.814 	21490.943 	22872.394 	25042.479 
FC_OTH_HH_E,G3000,TJ,HU	126720.000 	116933.000 	118510.000 	124419.599 	117792.899 	109579.116 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,IE	24642.001 	24708.785 	25240.968 	23210.468 	23523.512 	23194.401 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,IT	667065.957 	675190.385 	690796.485 	722667.264 	715836.600 	711151.200 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,LT	7299.990 	6733.890 	6898.500 	6437.700 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,LU	10811.620 	10315.947 	10238.072 	11201.917 	9858.985 	9268.077 	8503.684 	8848.352 	8365.456 	9033.895 	9600.726 
FC_OTH_HH_E,G3000,TJ,LV	4587.521 	4636.138 	4989.932 	4661.896 	4453.200 	4106.700 	4242.600 	4257.900 	4472.100 	4473.000 	5210.100 
FC_OTH_HH_E,G3000,TJ,MD	12070.800 	10860.300 	10803.600 	9428.400 	: 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,MK	7.392 	7.560 	8.100 	6.300 	3.852 	7.742 	1.688 	0.377 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,NL	264734.044 	276544.475 	286385.401 	288294.670 	297225.901 	285287.401 	267704.101 	358966.800 	337907.700 	315980.099 	406742.400 
FC_OTH_HH_E,G3000,TJ,NO	65.519 	64.808 	134.334 	134.717 	150.893 	140.561 	159.033 	155.470 	148.447 	138.364 	165.859 
FC_OTH_HH_E,G3000,TJ,PL	144749.700 	152348.400 	149111.100 	151972.200 	145148.400 	132177.600 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,PT	12285.900 	11900.700 	11433.600 	10497.600 	10208.700 	11007.000 	10808.100 	10246.500 	10793.700 	10800.900 	12519.000 
FC_OTH_HH_E,G3000,TJ,RO	113818.595 	104871.182 	105248.360 	101372.010 	95780.012 	93902.489 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,RS	10100.754 	8506.640 	8133.823 	8001.448 	7023.600 	6327.900 	5967.900 	7285.500 	8142.300 	8889.300 	9707.400 
FC_OTH_HH_E,G3000,TJ,SE	795.600 	833.400 	1368.900 	1512.000 	1265.400 	1199.700 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,SI	4417.303 	4427.824 	4646.867 	4983.132 	4815.826 	4331.675 	3710.813 	4789.705 	4906.303 	4741.044 	4757.805 
FC_OTH_HH_E,G3000,TJ,SK	47871.000 	46891.800 	46845.000 	48149.100 	44712.900 	43983.900 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,UA	: 	286006.501 	363796.201 	332724.996 	388803.690 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ,UK	: 	: 	1001711.863 	956047.935 	991034.853 	964164.520 	919158.810 	1116183.117 	1111903.571 	1000644.034 	1262289.416 
FC_OTH_HH_E,G3000,TJ_GCV,AT	66217.651 	66354.813 	62534.036 	68329.153 	69798.963 	63154.536 	58221.521 	66478.893 	65800.191 	64642.348 	72743.304 
FC_OTH_HH_E,G3000,TJ_GCV,BA	1889.000 	1803.000 	1674.000 	1757.000 	1607.000 	1543.000 	1250.000 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,BE	142413.600 	150568.500 	151836.100 	152057.900 	155467.700 	: 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,BG	4469.116 	3664.228 	3595.082 	3166.340 	2739.808 	2407.501 	2102.222 	2091.111 	2485.556 	2603.333 	2294.444 
FC_OTH_HH_E,G3000,TJ_GCV,CZ	86340.847 	83521.424 	87403.775 	93248.001 	92746.000 	83243.000 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,DE	1011608.506 	1041095.358 	1035766.307 	1004749.265 	1027742.000 	918251.001 	851228.000 	1047127.999 	1005705.000 	919141.000 	1112140.000 
FC_OTH_HH_E,G3000,TJ_GCV,DK	27541.567 	28647.177 	28612.511 	27570.000 	28885.556 	27971.111 	: 	: 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,EA19	3066082.142 	3148533.292 	3184761.168 	3215714.432 	3258010.138 	2898787.279 	1887886.040 	2380424.596 	2298372.195 	2118909.761 	2518374.201 
FC_OTH_HH_E,G3000,TJ_GCV,EE	2615.000 	2686.880 	2558.340 	2572.001 	2691.999 	2294.000 	2429.000 	2432.000 	2574.000 	2404.000 	2553.999 
FC_OTH_HH_E,G3000,TJ_GCV,EL	20561.430 	17881.159 	15413.400 	16778.121 	15309.100 	16547.000 	: 	10813.000 	: 	: 	: 
FC_OTH_HH_E,G3000,TJ_GCV,ES	161628.999 	160823.999 	169978.000 	154608.001 	155146.000 	154352.999 	143947.000 	148564.000 	163262.998 	158729.999 	198073.974 
